Timestamp,Age,Gender,Shoe Size,Height,What degree are you studying?,Why are you taking this course?,Which programming languages do you know?,Which phone OS do you prefer?,Which topics would you prefer to learn in this course? [Design efficient databases for large amounts of data],Which topics would you prefer to learn in this course? [Create predictive models (e.g. weather or stock market prediction)],Which topics would you prefer to learn in this course? [Define groups of similar objects (e.g. users from a dating site)],Which topics would you prefer to learn in this course? [Visualise data],Which topics would you prefer to learn in this course? [Study patterns on sets (e.g. Amazon shopping carts)],Which topics would you prefer to learn in this course? [Study patterns on sequences (e.g. exercises on a workout session)],Which topics would you prefer to learn in this course? [Study patterns on graphs (e.g. Facebook)],Which topics would you prefer to learn in this course? [Study patterns on text (e.g. spam mail)],Which topics would you prefer to learn in this course? [Study patterns on images (e.g. face detection)],Which topics would you prefer to learn in this course? [Code data mining algorithms],Which topics would you prefer to learn in this course? [Use off-the-shelf data mining tools],Which of these games have you played?,How do you commute to ITU? ,In which order do you normally traverse these ITU locations?  [1 checkpoint],In which order do you normally traverse these ITU locations?  [2 checkpoint],In which order do you normally traverse these ITU locations?  [3 checkpoint],In which order do you normally traverse these ITU locations?  [4 checkpoint],In which order do you normally traverse these ITU locations?  [5 checkpoint],In which order do you normally traverse these ITU locations?  [6 checkpoint],In which order do you normally traverse these ITU locations?  [7 checkpoint],In which order do you normally traverse these ITU locations?  [8 checkpoint],In which order do you normally traverse these ITU locations?  [9 checkpoint],In which order do you normally traverse these ITU locations?  [10 checkpoint],In which order do you normally traverse these ITU locations?  [11 checkpoint],In which order do you normally traverse these ITU locations?  [12 checkpoint],In which order do you normally traverse these ITU locations?  [13 checkpoint],In which order do you normally traverse these ITU locations?  [14 checkpoint],In which order do you normally traverse these ITU locations?  [15 checkpoint],Write four (4) random numbers between 0 and 15,therb fortt glag,Pick a number,Favorite film?,Favorite TV-Show,Favorite Game,Which row are you sitting/did you sit in during the introduction lecture?,Which seat are you sitting/did you sit on during the introduction lecture?
2017/01/30 10:18:43 AM CET,24,female,40,172,SDT-DT,It may help me to find a job,JAVA,Android,Sounds interesting,Very interesting,Sounds interesting,Very interesting,Sounds interesting,Meh,Meh,Sounds interesting,Sounds interesting,Meh,Sounds interesting,I have not played any of these games,Bike,Basement,Elevator,Class/Auditorium,Atrium,Analog,Atrium,Canteen,Basement,Not at ITU,Basement,ScrollBar,Basement,Not at ITU,Basement,Class/Auditorium,"15,2,14,15",,9,Love Actually,"Sherlock,Project Runway",Tichu,E,13
2017/01/30 10:19:00 AM CET,26,Male,46,190,SDT-DT,I am interested in the subject,"Java, C#, Processing, Arduino",Android,Sounds interesting,Very interesting,Sounds interesting,Very interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Sounds interesting,Candy Crush;Wordfeud;Minecraft;Fifa 2017;Star Wars Battlefield;Battlefield 4;Journey;Gone Home;Stanley Parable;Call of Duty: Black Ops;Rocket League;Bloodthorne;Rise of the Tomb Raider;The Witness;Fallout 4;Counter Strike_ GO;Angry Birds;The Last of Us,Bike,Not at ITU,Basement,Atrium,Analog,Class/Auditorium,Canteen,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"6,8,13,8",,13,Fight Club,Fringe,Doom,E,seat.length-2
2017/01/30 10:19:28 AM CET,23,male,43,176,DIM,It may help me to find a job,"F#, Java, vba, javascript",Android,Not interested,Very interesting,Very interesting,Sounds interesting,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Meh,Very interesting,Meh,Wordfeud;Minecraft;Fifa 2017;Star Wars Battlefield;Rocket League;Counter Strike_ GO,Bike,Basement,Canteen,Class/Auditorium,Canteen,Class/Auditorium,Basement,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"5, 12, 9, 7",,9,The pregstige,Westworld,Age of Empires 2,H,5
2017/01/30 10:19:41 AM CET,23,Male,46,193,GAMES-T,This was a mandatory course for me,"C++, Java, C#",Windows,Not interested,Not interested,Not interested,Meh,Not interested,Not interested,Not interested,Not interested,Meh,Not interested,Not interested,Minecraft;Fifa 2017;Battlefield 4;Stanley Parable;Call of Duty: Black Ops;Rocket League;Rise of the Tomb Raider;Fallout 4;Counter Strike_ GO,Train,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"1, 2, 3, 4",,Asparagus,Pulp fiction,Breaking bad,Mafia 1,D,6
2017/01/30 10:19:43 AM CET,27,Male,42,170,SDT-AC,The other optional courses were least appealing,Java C C++ Scala,Windows,Not interested,Sounds interesting,Sounds interesting,Sounds interesting,Meh,Meh,Meh,Meh,Meh,Not interested,Meh,Candy Crush;Counter Strike_ GO;Angry Birds,Bike,Basement,Atrium,Canteen,ScrollBar,Analog,Library,Class/Auditorium,Library,ScrollBar,Canteen,Basement,Atrium,Not at ITU,Atrium,Basement,"1,3,5,6",Option 1,13,"The Dark Knight, GodFather",US MasterChef,CounterStrike,C,1
2017/01/30 10:19:52 AM CET,24,Male,27,186,GAMES-T,This was a mandatory course for me,"c#, java, c++",Android,Sounds interesting,Sounds interesting,Meh,Sounds interesting,Meh,Meh,Meh,Meh,Sounds interesting,Sounds interesting,Sounds interesting,Wordfeud;Minecraft;Journey;Rocket League;Bloodthorne;The Last of Us,Bike;Walk;Train,Atrium,Analog,Class/Auditorium,Class/Auditorium,Canteen,Class/Auditorium,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"10, 12, 7, 3, 5",Option 1,7,Not really sure.,Blackadder (season 2-4),Persona 3,F,12
2017/01/30 10:19:55 AM CET,23,Male,46,190,SDT-DT,I am interested in the subject,"Java, C, Python, Matlab",iOS,Sounds interesting,Very interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Very interesting,Sounds interesting,Very interesting,Sounds interesting,Sounds interesting,Candy Crush;FarmVille;Fifa 2017;Life is Strange;Counter Strike_ GO;Angry Birds;The Last of Us,Bike;Train,Basement,Atrium,Elevator,Class/Auditorium,Canteen,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"13, 7, 4, 9",,7,Forrest Gump,House of Cards,Max Payne,5,14
2017/01/30 10:20:03 AM CET,28,Female,36,155,SDT-DT,I am interested in the subject,Java,iOS,Very interesting,Very interesting,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Sounds interesting,I have not played any of these games,Walk,Atrium,Analog,Class/Auditorium,Atrium,Canteen,Atrium,Analog,Atrium,Class/Auditorium,Atrium,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"0, 4, 5, 14",Option 1,7,Mulan,Girls,Super Smash Brothers,C,8
2017/01/30 10:20:12 AM CET,24,Male,45,192,SDT-DT,I am interested in the subject,Java,Windows,Sounds interesting,Very interesting,Meh,Sounds interesting,Very interesting,Meh,Meh,Sounds interesting,Not interested,Very interesting,Very interesting,Candy Crush;Wordfeud;FarmVille;Fifa 2017;Star Wars Battlefield;Counter Strike_ GO;Angry Birds,Bike;Train;Metro,Not at ITU,Basement,Canteen,Class/Auditorium,Canteen,Class/Auditorium,Library,Library,Library,Library,Canteen,Library,Library,Basement,Basement,"1,6,0,14",,13,Wolf of Wallstreet,Billions,Call Of Duty,B,9
2017/01/30 10:20:13 AM CET,22,Male,41,182,SDT-SE,I am interested in the subject,"Java, C#, C, F#, Python, Scala",Android,Meh,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Sounds interesting,Very interesting,Meh,Very interesting,Meh,Candy Crush;Wordfeud;Minecraft;Battlefield 4;Call of Duty: Black Ops;Rocket League;Counter Strike_ GO;Angry Birds,Walk,Not at ITU,Atrium,Elevator,Class/Auditorium,Elevator,Atrium,Canteen,Atrium,Elevator,Class/Auditorium,Elevator,Atrium,Not at ITU,Atrium,Class/Auditorium,"1, 4, 7, 14",Option 1,Asparagus,"The Dark Knight, Avengers, Harry Potter, LODR","Supernatural, The Flash, Breaking Bad",Rocket League,C,1
2017/01/30 10:20:18 AM CET,30,Male,41,170,SDT-SE,I am interested in the subject,"JAVA, C++, HTML",Android,Not interested,Very interesting,Sounds interesting,Sounds interesting,Sounds interesting,Meh,Meh,Sounds interesting,Very interesting,Meh,Sounds interesting,Star Wars Battlefield;Battlefield 4;Call of Duty: Black Ops;Rise of the Tomb Raider;Dragon Age: Inquisition;Counter Strike_ GO;Angry Birds;The Last of Us,Bike;Walk,Not at ITU,Basement,Elevator,Atrium,Class/Auditorium,Canteen,Library,Study Room,Elevator,Basement,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"0,2,8,15",Option 1,13,The Lord of the Rings: The Two Towers,"Friends, Dexter, House",Battlefield Bad Company 2,E,3
2017/01/30 10:20:20 AM CET,24,Male,43,192,SDT-AC,I am interested in the subject,"C#, Java, JavaScript, F#, C++, Python, C, Kotlin, PHP",Android,Meh,Sounds interesting,Sounds interesting,Very interesting,Sounds interesting,Sounds interesting,Very interesting,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Candy Crush;Wordfeud;Minecraft;Life is Strange;Journey;Rocket League;Angry Birds,Bike,Basement,Atrium,Analog,Atrium,Class/Auditorium,Atrium,Analog,Atrium,Class/Auditorium,Atrium,Analog,Atrium,Basement,Not at ITU,Not at ITU,"8,8,8,8",Option 1,7,Multiple,None,Rocket League,F,8
2017/01/30 10:20:26 AM CET,24,Male,45,199,GAMES-T,This was a mandatory course for me,"C#, Java, C++, Ruby ",Android,Meh,Sounds interesting,Meh,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Very interesting,Sounds interesting,Very interesting,Not interested,Minecraft;FarmVille;Journey;Gone Home;Stanley Parable;Call of Duty: Black Ops;Rocket League;Rise of the Tomb Raider;The Witness;Her Story;Counter Strike_ GO;Angry Birds,Bike,Basement,Elevator,Class/Auditorium,Elevator,Analog,Elevator,Class/Auditorium,Study Room,Elevator,Basement,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"1, 2, 3, 4",Option 1,7,Howl's Moving Castle,Firefly,Journey,D,7
2017/01/30 10:20:32 AM CET,24,male,46,191,SDT-DT,I am interested in the subject,java,Android,Sounds interesting,Very interesting,Sounds interesting,Sounds interesting,Meh,Meh,Meh,Meh,Meh,Sounds interesting,Sounds interesting,Fifa 2017;Counter Strike_ GO,Bike,Basement,Class/Auditorium,Canteen,ScrollBar,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"3,7,10,11",,Asparagus,lives of others,poldark,Red Alert 2,B,8
2017/01/30 10:20:40 AM CET,999,Apache Helicopter,2,50,Guest student,I am interested in the subject,"JAVA, R",Ubuntu Touch,Sounds interesting,Very interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Very interesting,Meh,Sounds interesting,Very interesting,Meh,Candy Crush;Battlefield 4;Rocket League;Counter Strike_ GO,Bike;Train;Metro,Class/Auditorium,Library,Class/Auditorium,Study Room,Elevator,Analog,Library,Library,Library,Library,Analog,Canteen,Not at ITU,Not at ITU,Not at ITU,"4,8,13,2",Option 1,9,Mike Hunt,Moe Lester,Tetris,C,10
2017/01/30 10:20:42 AM CET,28,Male,45,188,SDT-AC,I am interested in the subject,"Java, C, F#, Prolog",iOS,Not interested,Sounds interesting,Sounds interesting,Very interesting,Sounds interesting,Sounds interesting,Meh,Meh,Very interesting,Very interesting,Very interesting,Candy Crush;Angry Birds,Bike,Not at ITU,Atrium,Canteen,Atrium,ScrollBar,Analog,Library,Class/Auditorium,Library,Class/Auditorium,ScrollBar,Analog,ScrollBar,Atrium,Not at ITU,"0, 1, 2, 3",Option 1,Asparagus,The Shining,Stranger Things,Inside,C,5
2017/01/30 10:20:47 AM CET,22,Male,46,190,SDT-SE,I am interested in the subject,"C#,Java,F#",Android,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Meh,Meh,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Meh,Candy Crush;FarmVille;Battlefield 4;Angry Birds;The Last of Us,Bike,Not at ITU,Basement,Analog,Canteen,Elevator,Class/Auditorium,ScrollBar,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"1,3,7,14",Option 1,13,Wreck it Ralph,Game of Thrones,Path of Exile,C,0
2017/01/30 10:20:59 AM CET,22,Male,45,188,SDT-SE,I am interested in the subject,"Java, C#, Javascript, Python, F#, C ",Windows,Meh,Very interesting,Sounds interesting,Meh,Very interesting,Very interesting,Very interesting,Very interesting,Meh,Sounds interesting,Very interesting,Candy Crush;Wordfeud;Minecraft;Star Wars Battlefield;Life is Strange;Battlefield 4;Journey;Gone Home;Stanley Parable;Call of Duty: Black Ops;Rocket League;Fallout 4;Counter Strike_ GO;Angry Birds;The Last of Us,Train,Atrium,Class/Auditorium,Atrium,Canteen,Atrium,Class/Auditorium,ScrollBar,Atrium,Class/Auditorium,Atrium,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"5,8,9,10",,13,Avatar,South Park,Dark Souls,E,4
2017/01/30 10:21:09 AM CET,24,Male,"44,5",188,GAMES-T,This was a mandatory course for me,"C++, C#, Java",Android,Sounds interesting,Sounds interesting,Meh,Sounds interesting,Not interested,Meh,Not interested,Not interested,Very interesting,Very interesting,Meh,Wordfeud;Minecraft;Journey;Call of Duty: Black Ops;Counter Strike_ GO;Angry Birds,Walk,Not at ITU,Elevator,Class/Auditorium,Canteen,ScrollBar,Analog,Basement,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"13, 1, 3, 0",,13,Pulp Fiction,Scrubs,"Diablo 2, Transistor, Bastion, Portal, Journey",B,6
2017/01/30 10:21:11 AM CET,24,Male,43,183,SDT-SE,I am interested in the subject,C# Java C++ Swift Python,iOS,Sounds interesting,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Not interested,Candy Crush;Fifa 2017;Fallout 4;Counter Strike_ GO;Angry Birds,Train;Metro,Atrium,Analog,Class/Auditorium,Canteen,Class/Auditorium,Atrium,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,2 5 7 12,,7,Matrix,Rick and Morty,Cs go,D,1
2017/01/30 10:21:13 AM CET,26,Male,42,182,SWU,I am interested in the subject,"Python, JavaScript, MatLab, C++, Java, C, PHP",iOS,Sounds interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Angry Birds,Bike,Basement,Elevator,Atrium,Study Room,Elevator,Analog,Elevator,Class/Auditorium,Elevator,Atrium,Canteen,Atrium,ScrollBar,Elevator,Basement,"15,6,8,2",Option 1,7,Timetravel,The Wire,Factorio,6,6
2017/01/30 10:21:21 AM CET,27,Male,42,175,SDT-DT,I am interested in the subject,Java,iOS,Sounds interesting,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Wordfeud;Angry Birds,Bike;Bus;Metro,Basement,Atrium,Canteen,Elevator,Class/Auditorium,Study Room,Analog,Library,ScrollBar,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,14 8 11 0,Option 1,7,Into The Wild,GoT,Heroes of Might and Magic III,G,10
2017/01/30 10:21:28 AM CET,28,Male,45,185,SDT-DT,This was a mandatory course for me,"Java, Python, Javascript, ",iOS,Very interesting,Very interesting,Sounds interesting,Very interesting,Meh,Sounds interesting,Sounds interesting,Very interesting,Very interesting,Sounds interesting,Sounds interesting,Angry Birds,Bike;Metro,Basement,Atrium,Class/Auditorium,Canteen,Class/Auditorium,Analog,Atrium,Basement,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,2 3 11 14,,13,Scarface,None,Civilization,B,0
2017/01/30 10:21:31 AM CET,24,Male,45,185,SDT-DT,I am interested in the subject,"C, R, Java, VBA",Android,Meh,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Very interesting,Battlefield 4;Call of Duty: Black Ops;Dragon Age: Inquisition;Counter Strike_ GO;Angry Birds,Bike,Basement,Atrium,Canteen,Atrium,Canteen,Atrium,Class/Auditorium,Atrium,ScrollBar,Atrium,Basement,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"4,8,1,15",,9,"Scent of a woman, Lord of the Rings, Harry Potter",None,Dota 2,G,12
2017/01/30 10:21:31 AM CET,24,Male,45,190,GAMES-T,This was a mandatory course for me,"C#, C++, Java",Android,Meh,Very interesting,Meh,Sounds interesting,Not interested,Very interesting,Not interested,Not interested,Very interesting,Very interesting,Sounds interesting,Minecraft;Angry Birds;The Last of Us,Bike,Basement,Atrium,Class/Auditorium,Canteen,Class/Auditorium,Atrium,Basement,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"0, 7, 13, 4",Option 1,13,"Fight Club, Drive, Pulp Fiction","Monty Python's Flying Circus, Daredevil","The Witcher Series, Mass Effect, Dragon Age: Origins, Binding Of Isaac",B,5
2017/01/30 10:21:35 AM CET,25,Male,44,178,SDT-DT,I am interested in the subject,"C#, Java, JavaScript",Android,Very interesting,Very interesting,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Sounds interesting,Meh,Very interesting,Sounds interesting,Sounds interesting,Rocket League;Counter Strike_ GO,Walk;Bus;Metro,Not at ITU,Class/Auditorium,Analog,Atrium,Canteen,Basement,Not at ITU,ScrollBar,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"1,8,9,10",,Asparagus,Attack of the Jurassic Shark (2/10 on IMDB),"Breaking Bad, Parks & Recreation",DOTA 2,B,8
2017/01/30 10:21:41 AM CET,26,Man,42,171,SDT-SE,I am interested in the subject,"C#, Java, Javascript",Windows,Meh,Very interesting,Sounds interesting,Sounds interesting,Sounds interesting,Very interesting,Sounds interesting,Not interested,Sounds interesting,Sounds interesting,Sounds interesting,Minecraft;FarmVille;Fifa 2017;Star Wars Battlefield;Battlefield 4;Stanley Parable;Call of Duty: Black Ops;Rise of the Tomb Raider;Fallout 4;Dragon Age: Inquisition;Counter Strike_ GO;Angry Birds,Train;Car,Analog,Atrium,Elevator,Class/Auditorium,Study Room,Canteen,Library,ScrollBar,Basement,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,Not at ITU,"2,4,2.34,6.786",Option 1,9,The Godfather,Family Guy,Civilization,4th from the front - D,4
